uap_source_id,source_type,first_name,last_name,role,organization,website,podcast_name,rss_feed,focus_areas,language,country,city,credibility_tier,social_media,email,phone,notes,data_source
UAP-PRS-keanleslie-0001,person,Leslie,Kean,journalist,,https://lesliekean.com,,,disclosure;aerial;historical,en,USA,New York,1,@lesliekean,,,NYT-artikeln 2017 om Pentagon UAP-program. Medförfattare Grusch-artikeln 2023.,manual_clio
UAP-PRS-blumenthalralph-0002,person,Ralph,Blumenthal,journalist,NYT,https://ralphblumenthal.com,,,disclosure;aerial;historical,en,USA,New York,1,@ralphblumenthal,,,NYT-journalist. Medförfattare Pentagon/AATIP-artikeln 2017.,manual_clio
UAP-PRS-cooperhelene-0003,person,Helene,Cooper,journalist,NYT,https://nytimes.com,,,aerial;military,en,USA,Washington DC,1,@helenecooper,,,Pentagon-korrespondent NYT. Medförfattare UAP-artiklarna 2017.,manual_clio
UAP-PRS-benderbryan-0004,person,Bryan,Bender,journalist,POLITICO,https://politico.com,,,disclosure;military;policy,en,USA,Washington DC,1,@bryandbender,,,POLITICO. Täcker militär och UAP-disclosure.,manual_clio
UAP-PRS-mcmillantim-0005,person,Tim,McMillan,journalist,The Debrief,https://thedebrief.org,,,aerial;military;disclosure,en,USA,,1,@timmcmillan,,,The Debrief. Djuprapportering om UAP och AARO.,manual_clio
UAP-PRS-sharpchristopher-0006,person,Christopher,Sharp,journalist,The Debrief,https://thedebrief.org,,,disclosure;aerial;policy,en,USA,,1,@christophersharp,,,The Debrief. Täcker Congressional UAP-hearings.,manual_clio
UAP-PRS-knappgeorge-0007,person,George,Knapp,journalist,KLAS-TV,https://georgeknapp.com,,,aerial;historical;whistleblower,en,USA,Las Vegas NV,1,@georgeknapp,,,KLAS-TV Las Vegas. Bob Lazar-intervjun 1989.,manual_clio
UAP-PRS-rogowaytyler-0008,person,Tyler,Rogoway,journalist,The Drive,https://thedrive.com/the-war-zone,,,aerial;military;official,en,USA,,1,@tylermrogoway,,,The War Zone. Djupanalys av militär UAP.,manual_clio
UAP-PRS-graffgarrett-0009,person,Garrett,Graff,journalist,WIRED,https://wired.com,,,historical;disclosure,en,USA,Washington DC,1,@vermontgmg,,,WIRED. Bok om Roswell och UAP-historia.,manual_clio
UAP-PRS-shellenbergermic-0010,person,Michael,Shellenberger,journalist,Public,https://public.substack.com,,,disclosure;policy,en,USA,San Francisco,1,@shellenberger,,,Public Substack. Täcker UAP-disclosure.,manual_clio
UAP-PRS-speigellee-0011,person,Lee,Speigel,journalist,,,,,historical;aerial,en,USA,,2,,,,Fd AOL News / HuffPost UAP-korrespondent.,manual_clio
UAP-PRS-coulthartross-0012,person,Ross,Coulthart,journalist,News Nation,https://rosscoulthart.com,,,aerial;whistleblower;disclosure,en,Australia,Sydney,1,@rosscoulthart,,,News Nation. In Plain Sight. Kontaktade Grusch 2023.,manual_clio
